index,email,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,school_name,gender,study_group,star_sign,age,area,MBTI_result
108,,4,5,3,5,4,5,4,3,4,5,4,5,4,3,3,3,國防醫學院,男,生醫農,摩羯座,20,北部,ENFJ
109,,2,2,1,1,5,5,3,2,5,5,5,1,5,1,5,3,國立陽明交通大學,男,理工,處女座,19,北部,INFP
110,,4,3,3,4,4,5,5,5,4,4,5,1,3,2,5,4,國立成功大學,男,生醫農,天秤座,20,南部,ENFJ
111,,4,3,5,4,3,4,2,5,4,4,5,5,3,1,2,4,國立臺北大學,女,文法商,天蠍座,20,北部,ENFJ
112,,3,2,4,4,3,5,5,5,3,4,4,4,3,2,4,4,國立陽明交通大學,男,理工,摩羯座,19,北部,ENFJ
113,,3,3,3,4,4,4,4,3,3,4,4,4,4,2,4,2,國立臺灣師範大學,男,理工,水瓶座,19,中部,INFJ
114,,2,3,3,4,4,4,4,4,2,4,3,4,4,2,4,3,國立陽明交通大學,男,理工,天蠍座,20,北部,INFJ
115,,3,5,2,5,4,5,3,5,3,5,5,4,3,2,3,3,國立陽明交通大學,男,理工,天蠍座,19,北部,INFJ
116,,2,1,3,2,1,1,3,1,3,1,1,4,3,4,2,3,私立銘傳大學,男,文法商,雙魚座,19,北部,ESTP
117,,2,4,4,4,4,4,4,2,4,4,4,3,4,2,4,2,國立陽明交通大學,女,理工,天秤座,19,南部,INFP
118,,2,1,3,4,4,2,4,4,3,3,4,4,4,3,4,3,國立陽明交通大學,男,生醫農,摩羯座,19,中部,ISFJ
119,,3,5,4,5,5,4,5,3,4,3,2,1,4,2,2,3,國立陽明交通大學,男,理工,牡羊座,18,北部,INTJ
120,,3,2,4,5,3,3,3,2,3,3,4,5,3,2,4,3,國立陽明交通大學,女,生醫農,摩羯座,19,北部,INFJ
121,,5,5,3,2,4,3,5,3,3,5,3,2,4,1,3,4,國立彰化師範大學,男,理工,摩羯座,19,中部,INTP
122,,4,2,3,3,3,4,5,3,3,3,4,1,4,1,5,3,國立成功大學,男,理工,牡羊座,19,北部,ENFP
123,,5,3,5,4,3,5,5,5,5,5,4,3,2,2,3,1,高雄師範大學,男,理工,牡羊座,19,外國人,ENFJ
124,,2,4,3,4,3,2,4,2,2,3,4,4,3,2,4,3,國立陽明交通大學,女,理工,巨蟹座,19,北部,INFJ
125,,2,4,4,2,4,4,3,4,2,3,4,3,4,3,3,5,國立政治大學,男,文法商,天蠍座,20,中部,INFJ
126,,3,4,3,3,4,4,4,2,3,4,3,4,4,3,3,4,國立陽明交通大學,女,理工,射手座,19,南部,INTJ
127,,3,3,2,4,4,4,3,3,2,4,5,3,3,2,4,4,私立逢甲大學,男,理工,雙子座,19,中部,INFJ
128,,5,4,4,4,3,5,4,3,4,4,3,4,4,2,4,4,國立臺北大學,男,文法商,牡羊座,19,北部,ENFJ
129,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,國立成功大學,男,理工,處女座,20,南部,INFJ
130,,1,4,2,3,4,4,4,3,2,3,3,4,3,4,5,4,國立臺北大學,女,文法商,獅子座,19,北部,INTJ
131,,4,5,2,2,5,5,2,1,3,2,5,3,4,2,5,4,國立臺灣大學,男,理工,水瓶座,19,北部,INFP
132,,3,1,3,4,5,5,4,3,3,3,3,3,4,1,5,3,國立中興大學,男,生醫農,摩羯座,19,中部,INFJ
133,,3,2,1,4,3,3,4,3,4,4,3,5,3,2,4,3,國立中興大學,男,理工,牡羊座,19,中部,ENTJ
134,,5,4,2,3,4,2,4,3,3,4,4,4,3,2,2,4,國立陽明交通大學,男,理工,射手座,21,中部,ENTJ
135,,3,2,3,4,2,4,4,3,4,4,3,3,3,3,4,3,國立臺灣海洋大學,男,理工,天蠍座,20,北部,ENTJ
136,,4,4,4,2,2,4,2,2,4,4,4,2,4,2,4,2,國立臺灣大學,女,文法商,天秤座,19,北部,ENFP
137,,4,5,4,5,5,5,5,5,4,5,5,4,5,3,4,3,國立政治大學,女,文法商,雙魚座,19,北部,INFJ
138,,3,4,4,5,5,4,4,3,2,4,5,3,4,2,4,2,國立臺灣師範大學,女,文法商,處女座,19,北部,INFJ
139,,2,5,4,2,5,4,5,3,3,3,4,5,4,4,2,1,國立清華大學,男,理工,牡羊座,19,中部,INTP
140,,4,3,4,4,3,5,4,3,5,4,3,4,4,3,5,5,國立成功大學,女,文法商,處女座,20,南部,ENFJ
141,,3,3,2,4,4,4,4,5,3,4,3,4,4,2,4,4,國立陽明交通大學,男,理工,射手座,20,北部,INTJ
142,,2,3,4,5,4,5,5,4,3,5,5,5,4,2,4,3,國立清華大學,男,理工,獅子座,18,離島地區,INFJ
143,,4,2,4,3,5,4,5,4,4,2,4,5,2,2,5,4,國立陽明交通大學,女,文法商,天秤座,24,東部,ENFJ
144,,4,4,5,5,3,5,4,5,4,4,4,5,2,1,4,4,中國醫藥大學,女,生醫農,天蠍座,22,中部,ENFJ
145,,4,4,4,3,2,5,4,3,3,4,4,5,3,2,4,4,中山醫學大學,女,生醫農,天蠍座,20,中部,ENFJ
146,,3,4,4,4,5,5,5,4,2,4,4,4,5,1,3,4,國立臺灣大學,男,理工,水瓶座,20,北部,INFJ
147,,4,4,2,3,4,4,3,2,4,3,2,4,4,4,3,2,國立成功大學,女,文法商,處女座,20,北部,ENTP
148,,1,1,1,5,5,5,5,3,3,3,3,3,3,3,3,1,國立陽明交通大學,男,理工,獅子座,26,外國人,INTP
149,,5,4,4,5,3,4,3,3,5,5,5,5,4,1,5,2,國立臺灣大學,男,生醫農,水瓶座,19,北部,ENFJ
150,,4,4,4,3,3,5,3,4,4,4,4,3,3,3,4,4,國立陽明交通大學,男,理工,巨蟹座,19,北部,ENFJ
151,,3,5,5,5,3,5,5,5,3,3,5,4,3,2,5,3,國立高雄科技大學,男,文法商,處女座,20,南部,INFJ
152,,4,3,3,1,2,5,3,2,4,3,4,1,2,1,2,2,國立臺北科技大學,男,理工,巨蟹座,19,北部,ENTP
153,,4,3,4,3,3,4,4,4,2,3,4,2,3,2,4,2,私立實踐大學,女,藝術,摩羯座,19,北部,INFP
154,,2,2,3,1,5,3,3,3,4,3,5,5,5,4,5,4,國立清華大學,男,理工,天秤座,22,南部,ISFJ
155,,2,4,4,3,4,4,4,4,2,4,5,4,4,4,2,1,臺北教育大學,女,教育,金牛座,18,北部,INFP
156,,2,4,3,5,3,4,2,5,3,4,5,1,5,4,3,4,國立清華大學,女,文法商,牡羊座,22,中部,INFJ
157,,4,4,4,3,3,4,4,4,4,4,4,4,4,2,3,2,私立世新大學,女,文法商,天秤座,20,外國人,ENFJ
158,,4,5,5,4,3,3,5,4,4,4,3,5,4,1,5,4,國立臺南大學,男,藝術,射手座,23,北部,ENFJ
159,,4,3,2,2,3,3,5,3,3,4,4,4,2,2,3,4,馬偕醫學院,女,生醫農,處女座,21,北部,ENTJ
160,,4,4,3,5,2,5,4,4,3,4,5,5,2,1,2,3,國立陽明交通大學,男,生醫農,牡羊座,19,北部,ENFJ
161,,4,3,2,3,3,4,5,4,3,4,4,3,3,2,4,3,國立陽明交通大學,男,理工,牡羊座,19,北部,ENTJ
162,,4,4,3,5,4,5,5,5,4,4,2,3,5,4,2,4,國立陽明交通大學,女,文法商,牡羊座,22,北部,INTJ
163,,2,4,3,4,4,5,4,4,2,4,3,3,4,3,3,2,國立清華大學,女,理工,摩羯座,19,北部,INTJ
164,,4,5,3,5,4,2,4,5,5,5,5,4,5,5,4,5,國立臺灣師範大學,女,文法商,雙子座,20,北部,ENFJ
165,,5,4,4,2,4,5,3,2,4,5,4,2,3,2,5,2,國立臺南大學,男,理工,金牛座,19,南部,ENFP
166,,5,4,4,4,3,5,4,5,4,5,5,4,4,3,3,2,國立陽明交通大學,男,文法商,牡羊座,21,北部,ENFJ
167,,5,5,5,5,5,5,4,5,4,5,5,4,4,2,2,4,國立成功大學,男,理工,巨蟹座,19,北部,ENFJ
168,,2,4,3,2,3,5,4,3,4,5,4,5,5,3,5,4,國立清華大學,女,文法商,處女座,21,北部,INFJ
169,,3,2,2,3,4,3,3,3,3,3,2,1,4,2,4,3,國立高雄大學,男,理工,射手座,20,南部,INTP
170,,4,3,3,2,3,4,5,4,4,4,3,2,4,2,2,2,國立成功大學,男,理工,雙子座,19,北部,ENTP
171,,3,3,4,4,3,3,3,4,4,3,4,4,3,3,4,4,國立清華大學,女,文法商,處女座,21,北部,ENFJ
172,,4,5,5,4,3,5,3,3,4,4,5,3,3,2,5,3,國立臺灣大學,女,文法商,射手座,20,北部,ENFJ
173,,4,4,2,5,4,5,3,4,4,3,5,3,2,2,4,2,中山醫學大學,男,生醫農,射手座,20,中部,ENFJ
174,,3,3,4,3,2,2,1,3,4,2,4,4,3,5,5,4,國立陽明交通大學,女,文法商,獅子座,18,中部,ESFJ
175,,3,3,3,4,5,5,3,3,3,5,3,5,4,1,4,5,國立陽明交通大學,男,理工,水瓶座,19,北部,INFJ
176,,3,4,3,4,2,4,3,4,2,4,4,4,3,2,4,3,國立清華大學,男,理工,處女座,19,南部,INFJ
177,,3,5,5,2,2,4,4,2,2,4,2,2,2,2,1,2,國立清華大學,女,文法商,牡羊座,18,北部,ENTP
178,,5,2,3,4,2,5,3,4,5,5,4,5,3,2,5,4,沖縄名桜大学,男,生醫農,天秤座,20,北部,ENFJ
179,,4,5,5,3,4,5,4,4,4,5,4,4,4,1,4,2,國立陽明交通大學,女,文法商,獅子座,21,北部,ENFJ
180,,2,1,4,5,5,2,5,4,2,4,4,5,4,4,5,5,國立成功大學,女,理工,天秤座,20,南部,ISFJ
181,,2,3,2,4,3,2,4,1,3,3,4,1,3,2,3,3,國立陽明交通大學,男,理工,天秤座,20,中部,INTP
182,,2,3,1,2,4,5,4,3,2,4,2,2,4,1,4,2,國立政治大學,男,文法商,水瓶座,18,北部,INTP
183,,5,4,2,2,5,5,4,2,5,5,5,1,5,4,5,5,國立陽明交通大學,男,理工,雙魚座,18,北部,ENFP
184,,3,2,2,1,4,4,4,2,3,3,5,3,4,3,4,2,國立清華大學,男,理工,處女座,19,北部,INFP
185,,5,3,4,4,3,3,4,3,4,4,4,4,4,3,3,3,國立陽明交通大學,男,文法商,金牛座,24,外國人,ENFJ
186,,2,4,4,2,4,5,5,4,2,3,4,4,4,3,4,4,國立臺灣大學,男,理工,雙魚座,19,北部,INFJ
187,,2,4,2,1,4,5,5,4,1,4,4,2,5,3,4,1,私立中原大學,女,理工,射手座,20,北部,INTP
188,,5,4,4,4,4,5,3,4,4,4,4,4,4,2,4,2,國立陽明交通大學,女,文法商,天蠍座,19,北部,ENFJ
189,,2,2,2,3,4,3,4,4,2,3,4,4,4,4,2,4,國立陽明交通大學,女,理工,金牛座,20,北部,ISTJ
190,,3,4,3,5,4,4,4,5,4,4,3,5,4,3,4,4,國立陽明交通大學,女,理工,金牛座,20,北部,INTJ
191,,3,3,4,4,5,5,5,4,2,5,4,5,5,3,2,5,臺北醫學大學,男,生醫農,牡羊座,21,北部,INTJ
192,,4,5,4,3,4,4,2,2,4,4,5,4,4,3,4,2,國立陽明交通大學,女,理工,巨蟹座,19,中部,ENFP
193,,5,4,4,4,5,4,4,4,4,5,4,5,4,3,5,4,國立陽明交通大學,男,理工,射手座,20,北部,ENFJ
194,,4,4,3,2,4,5,3,1,4,5,5,1,4,4,5,2,國立陽明交通大學,女,生醫農,射手座,20,北部,ENFP
195,,5,5,4,3,1,5,3,4,5,5,4,4,4,3,4,3,私立東吳大學,女,文法商,天秤座,22,北部,ENFJ
196,,3,2,3,4,3,4,4,4,4,3,3,4,4,2,3,4,國立陽明交通大學,女,文法商,天秤座,19,北部,ENTJ
197,,3,4,2,3,3,5,4,3,3,5,4,3,3,2,4,3,中國醫藥大學,女,生醫農,射手座,21,北部,INTJ
198,,4,5,2,4,4,3,4,4,2,5,4,2,4,1,4,4,國立陽明交通大學,男,理工,巨蟹座,19,中部,INTJ
199,,3,2,4,5,4,4,3,4,4,3,4,4,4,2,4,2,國立陽明交通大學,女,生醫農,天蠍座,20,中部,INFJ
200,,2,3,2,4,4,4,4,4,2,4,4,3,4,2,4,2,國立清華大學,男,理工,處女座,20,北部,INTJ
201,,3,4,3,2,4,5,4,2,3,3,3,2,4,1,3,3,國立陽明交通大學,男,理工,射手座,20,中部,INTP
202,,5,5,4,4,3,4,3,3,5,5,4,3,3,2,5,3,倫敦大學,男,文法商,天秤座,29,北部,ENFJ
203,,4,2,4,3,3,4,2,2,4,4,5,4,2,3,5,1,國立清華大學,女,文法商,射手座,22,北部,ENFP
204,,4,3,4,4,3,4,5,4,4,4,5,2,2,1,2,2,國立中央大學,男,理工,處女座,20,北部,ENFP
205,,4,4,5,5,5,5,2,4,2,4,5,5,5,3,3,4,國立臺灣大學,女,文法商,雙子座,21,北部,INFJ
206,,4,5,5,4,4,5,3,4,2,4,4,4,5,2,2,4,國立臺灣大學,女,文法商,天蠍座,22,北部,INFJ
207,,5,5,4,5,4,5,3,4,5,4,5,4,4,4,4,2,國立陽明交通大學,男,理工,水瓶座,23,北部,ENFJ
208,,4,5,5,5,4,5,5,5,4,5,4,4,3,3,5,3,國立陽明交通大學,男,文法商,處女座,21,北部,ENFJ
209,,3,2,4,4,4,4,5,4,2,4,4,3,5,2,4,2,國立陽明交通大學,男,理工,金牛座,19,中部,INFJ
210,,3,4,4,2,5,5,2,3,3,2,2,1,5,2,5,5,國立陽明交通大學,女,理工,天秤座,21,中部,INFP
211,,3,3,3,1,2,4,3,1,3,3,4,1,4,2,5,2,國立陽明交通大學,男,理工,雙魚座,19,北部,ENFP
212,,2,5,4,3,5,5,4,1,4,5,4,2,5,2,4,1,國立陽明交通大學,女,生醫農,天秤座,20,北部,INFP
213,,3,5,4,4,3,5,2,2,5,4,4,4,3,4,5,2,私立長庚大學,女,生醫農,天秤座,22,北部,ENFP
214,,4,5,4,2,3,4,2,4,4,4,4,3,3,3,5,3,國立陽明交通大學,男,理工,天秤座,23,南部,ENFP
215,,2,2,2,4,4,4,4,4,3,3,4,5,5,2,4,3,國立陽明交通大學,女,理工,獅子座,19,北部,INTJ
